discovery_sequence,program_name,source_url,canonical_url,catalogue_identifier,program_identifier,section_found_in,detected_credentials,classification_evidence,exclusion_reason,classified_at
492,Master of Business Administration/Master of Science in Industrial and Systems Engineering (MBA/MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31625&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31625,catoid=22,poid=31625,"Programs, Minors and Certificates","[""MBA"", ""MS""]","{""title"": ""Master of Business Administration/Master of Science in Industrial and Systems Engineering (MBA/MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MS"", ""credential_groups"": [""MBA/MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MS""]}","graduate credential(s) ['MBA', 'MS'] in credential field 'MBA/MS'",2026-07-31T01:26:34Z
493,"Master of Business Administration/Master of Science, Systems Architecting and Engineering (MBA/MS)",https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32546&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32546,catoid=22,poid=32546,"Programs, Minors and Certificates","[""MBA"", ""MS""]","{""title"": ""Master of Business Administration/Master of Science, Systems Architecting and Engineering (MBA/MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MS"", ""credential_groups"": [""MBA/MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MS""]}","graduate credential(s) ['MBA', 'MS'] in credential field 'MBA/MS'",2026-07-31T01:26:34Z
494,Master of Business Administration/Master of Social Work (MBA/MSW),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31630&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31630,catoid=22,poid=31630,"Programs, Minors and Certificates","[""MBA"", ""MSW""]","{""title"": ""Master of Business Administration/Master of Social Work (MBA/MSW)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MSW"", ""credential_groups"": [""MBA/MSW""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MSW""]}","graduate credential(s) ['MBA', 'MSW'] in credential field 'MBA/MSW'",2026-07-31T01:26:34Z
495,Master of Business Administration/Master of Urban Planning (MBA/MUP),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32595&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32595,catoid=22,poid=32595,"Programs, Minors and Certificates","[""MBA"", ""MUP""]","{""title"": ""Master of Business Administration/Master of Urban Planning (MBA/MUP)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MBA/MUP"", ""credential_groups"": [""MBA/MUP""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MBA"", ""MUP""]}","graduate credential(s) ['MBA', 'MUP'] in credential field 'MBA/MUP'",2026-07-31T01:26:34Z
497,Accounting (MAcc),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31655&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31655,catoid=22,poid=31655,"Programs, Minors and Certificates","[""MAcc""]","{""title"": ""Accounting (MAcc)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MAcc"", ""credential_groups"": [""MAcc""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MAcc""]}",graduate credential(s) ['MAcc'] in credential field 'MAcc',2026-07-31T01:26:34Z
498,Addiction Science (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32789&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32789,catoid=22,poid=32789,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Addiction Science (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
502,Advanced Orofacial Pain and Oral Medicine (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31988&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31988,catoid=22,poid=31988,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Advanced Orofacial Pain and Oral Medicine (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
503,Advanced Placement Gerontology (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32149&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32149,catoid=22,poid=32149,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Advanced Placement Gerontology (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
504,Aerospace and Mechanical Engineering (Artificial Intelligence and Machine Learning) (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32860&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32860,catoid=22,poid=32860,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Aerospace and Mechanical Engineering (Artificial Intelligence and Machine Learning) (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
505,Aerospace and Mechanical Engineering (Computational Fluid and Solid Mechanics) (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32037&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32037,catoid=22,poid=32037,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Aerospace and Mechanical Engineering (Computational Fluid and Solid Mechanics) (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
506,Aerospace and Mechanical Engineering (Dynamics and Control) (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32043&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32043,catoid=22,poid=32043,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Aerospace and Mechanical Engineering (Dynamics and Control) (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
507,Aerospace Engineering (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32036&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32036,catoid=22,poid=32036,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Aerospace Engineering (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
508,Aerospace Engineering/Engineering Management (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32038&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32038,catoid=22,poid=32038,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Aerospace Engineering/Engineering Management (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
510,Aging Services Management (MA),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32581&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32581,catoid=22,poid=32581,"Programs, Minors and Certificates","[""MA""]","{""title"": ""Aging Services Management (MA)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MA"", ""credential_groups"": [""MA""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MA""]}",graduate credential(s) ['MA'] in credential field 'MA',2026-07-31T01:26:34Z
511,Alternative Dispute Resolution (LLM),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32401&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32401,catoid=22,poid=32401,"Programs, Minors and Certificates","[""LLM""]","{""title"": ""Alternative Dispute Resolution (LLM)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""LLM"", ""credential_groups"": [""LLM""], ""undergrad_tokens"": [], ""graduate_tokens"": [""LLM""]}",graduate credential(s) ['LLM'] in credential field 'LLM',2026-07-31T01:26:34Z
512,Analytics (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32116&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32116,catoid=22,poid=32116,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Analytics (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
513,Animation and Digital Arts (MFA),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31660&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31660,catoid=22,poid=31660,"Programs, Minors and Certificates","[""MFA""]","{""title"": ""Animation and Digital Arts (MFA)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MFA"", ""credential_groups"": [""MFA""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MFA""]}",graduate credential(s) ['MFA'] in credential field 'MFA',2026-07-31T01:26:34Z
514,Anthropology (MA),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31706&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31706,catoid=22,poid=31706,"Programs, Minors and Certificates","[""MA""]","{""title"": ""Anthropology (MA)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MA"", ""credential_groups"": [""MA""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MA""]}",graduate credential(s) ['MA'] in credential field 'MA',2026-07-31T01:26:34Z
515,Applied Analytics (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32905&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32905,catoid=22,poid=32905,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Analytics (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
516,Applied Behavior Analysis (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32455&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32455,catoid=22,poid=32455,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Behavior Analysis (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
517,Applied Biostatistics and Epidemiology (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32219&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32219,catoid=22,poid=32219,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Biostatistics and Epidemiology (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
518,Applied Communication Research (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32843&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32843,catoid=22,poid=32843,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Communication Research (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
519,Applied Data Science (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32528&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32528,catoid=22,poid=32528,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Data Science (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
520,Applied Economics and Econometrics (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32591&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32591,catoid=22,poid=32591,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Economics and Econometrics (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
521,Applied Mathematics (MA),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31863&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31863,catoid=22,poid=31863,"Programs, Minors and Certificates","[""MA""]","{""title"": ""Applied Mathematics (MA)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MA"", ""credential_groups"": [""MA""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MA""]}",graduate credential(s) ['MA'] in credential field 'MA',2026-07-31T01:26:34Z
522,Applied Mathematics (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31859&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31859,catoid=22,poid=31859,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Mathematics (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
523,Applied Physics (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32714&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32714,catoid=22,poid=32714,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Physics (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
524,Applied Psychology (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31914&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31914,catoid=22,poid=31914,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Psychology (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
525,Applied Technology and Aging (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32733&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32733,catoid=22,poid=32733,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Applied Technology and Aging (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
526,Applied Theatre Arts (MA),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32013&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32013,catoid=22,poid=32013,"Programs, Minors and Certificates","[""MA""]","{""title"": ""Applied Theatre Arts (MA)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MA"", ""credential_groups"": [""MA""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MA""]}",graduate credential(s) ['MA'] in credential field 'MA',2026-07-31T01:26:34Z
528,Art History (MA),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31713&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31713,catoid=22,poid=31713,"Programs, Minors and Certificates","[""MA""]","{""title"": ""Art History (MA)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MA"", ""credential_groups"": [""MA""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MA""]}",graduate credential(s) ['MA'] in credential field 'MA',2026-07-31T01:26:34Z
529,Artificial Intelligence and Technology Law (LLM),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32934&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32934,catoid=22,poid=32934,"Programs, Minors and Certificates","[""LLM""]","{""title"": ""Artificial Intelligence and Technology Law (LLM)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""LLM"", ""credential_groups"": [""LLM""], ""undergrad_tokens"": [], ""graduate_tokens"": [""LLM""]}",graduate credential(s) ['LLM'] in credential field 'LLM',2026-07-31T01:26:34Z
530,Arts Leadership (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32511&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32511,catoid=22,poid=32511,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Arts Leadership (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
531,Astronautical Engineering (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32047&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32047,catoid=22,poid=32047,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Astronautical Engineering (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
532,Biokinesiology (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32161&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32161,catoid=22,poid=32161,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Biokinesiology (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
533,Biokinesiology (Sports Science) (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32541&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32541,catoid=22,poid=32541,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Biokinesiology (Sports Science) (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
534,Biology (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31725&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31725,catoid=22,poid=31725,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Biology (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
535,Biomaterials and Digital Dentistry (MS),https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32523&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32523,catoid=22,poid=32523,"Programs, Minors and Certificates","[""MS""]","{""title"": ""Biomaterials and Digital Dentistry (MS)"", ""section_heading"": ""Programs, Minors and Certificates"", ""credential_field"": ""MS"", ""credential_groups"": [""MS""], ""undergrad_tokens"": [], ""graduate_tokens"": [""MS""]}",graduate credential(s) ['MS'] in credential field 'MS',2026-07-31T01:26:34Z
