sequence_number,program_name,credential,school,catalogue_year,catalogue_identifier,program_identifier,source_url,canonical_url,acquisition_mode,output_filename,content_character_count,content_line_count,content_sha256,file_sha256,source_html_sha256,rendered_dom_sha256,classification_status,extraction_status,retrieved_at
20,Art History (BA),BA,"USC Dornsife College of Letters, Arts and Sciences",2026-2027,catoid=22,poid=31710,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31710&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31710,direct_html,020_art_history_ba.txt,4357,124,7b5ebb46023839dd5187eb77472811b9395dadebc8a0cee07b653ff16e3aab20,0d41f59220094726dd5b8f7d22c0db6932481dcf17886676d0559b064cdf3624,879a824930fce358e63f607076bf2a27e41219d93a15568f76ac084e67b0626c,,included,complete,2026-07-31T00:49:40Z
21,Artificial Intelligence (BS),BS,USC Viterbi School of Engineering. The minimum requirement for the degree is 128,2026-2027,catoid=22,poid=32917,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32917&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32917,direct_html,021_artificial_intelligence_bs.txt,6835,199,43a60fa9deb58e52089b19d7bd5abfae4a87614270f4d82c65d3f90b9433fa71,6fd6c8888a05d8dff455e2830e3241a28b5b14378635e0ed693debae15862aba,b3a43077a3463079e67824d2a7a40fc9ca31bc2aa4d21394fbb8ff4561627066,,included,complete,2026-07-31T00:49:43Z
22,Artificial Intelligence for Business (BS),BS,Marshall School of Business and the Viterbi School of Engineering,2026-2027,catoid=22,poid=32795,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32795&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32795,direct_html,022_artificial_intelligence_for_business_bs.txt,5358,129,c880580c9450fc2c0ec32d39c2c78498c0ead1d5a175e40417df27d79ab03112,5293a904031d64240f9638d1e30811206b6d5e6b0bf269151bf87f6626977478,d9ef427c04b04657e857d4d7459699260656347ce6fee18e5f671303c73158a7,,included,complete,2026-07-31T00:49:46Z
23,"Arts, Technology and the Business of Innovation (BS)",BS,,2026-2027,catoid=22,poid=31586,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31586&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31586,direct_html,023_arts_technology_and_the_business_of_innovation_bs.txt,14192,375,10dd22c4ffe8409dcb26f376ddd3e29e8e29122a410c1aa9085c6a13eb6b6262,28e17cf87683378e245ad273cc3f2d3892a05ee5b15be4f49069746a260c7218,c3be2d829444ba7b2a9b201f25ecfb9877d3b91647607047948c102031e9e950,,included,complete,2026-07-31T00:49:47Z
24,Astronautical Engineering (BS),BS,,2026-2027,catoid=22,poid=32045,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32045&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32045,direct_html,024_astronautical_engineering_bs.txt,3506,120,d6656fe29b104907433d9f511b35a3888826c860a17c235770bc4813968b6eb1,ed1cd793136ba887a26e8889de1b57012ac292baf6c81900133ff3a139ba70a4,e131a29d73f2f9620e00ec6efd24d1083256fa829e5408c4143b8e7d03fd5e25,,included,complete,2026-07-31T00:49:50Z
25,Astronomy (BA),BA,,2026-2027,catoid=22,poid=31889,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31889&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31889,direct_html,025_astronomy_ba.txt,1114,39,eea02c5276ce1967c4d57842da481c82f89f84e0e3cc9c9d0fcc888a1ea4fe69,db146867a7521650894737779a27abcec273e1f0cdf359650459c7459af85c15,9203f4244fe12c005ef29a8efebad7bf9c6bb2ea0d96d0a46d667e451b5fe633,,included,complete,2026-07-31T00:49:52Z
26,Astronomy (BS),BS,,2026-2027,catoid=22,poid=31886,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31886&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31886,direct_html,026_astronomy_bs.txt,1272,42,cffa53e6d4d3215672d3b734e8388ca261c187814940ab7a36f1a009ae3a245f,992f838a4cabfb93fa92743af9fb238b627cfccfbc8c7ab44a7a7c99a708e230,033868276513ee755cdd0624d4e96799a5e26c774e17e4aaa5a52615c7896ece,,included,complete,2026-07-31T00:49:54Z
27,Behavioral Economics and Psychology (BA),BA,,2026-2027,catoid=22,poid=32779,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32779&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32779,direct_html,027_behavioral_economics_and_psychology_ba.txt,2157,59,7b01b4c1c9a1a9abfcf51dd59c963c65d8979c76f568bd2006e762d1503148b1,6a5c286795d02bd4dc3bd518ff84a0df3d79bb7fad27dda1522834733b9309ef,08cb00862b13b3e167388f4bf545968c5e703fc4fa5acab81f19c6f894d4f226,,included,complete,2026-07-31T00:49:56Z
28,Biochemistry (BS),BS,"USC Dornsife College of Letters, Arts and Sciences are applicable",2026-2027,catoid=22,poid=31721,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31721&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31721,direct_html,028_biochemistry_bs.txt,4420,81,58e596860f01a9dc0b48687fe382eb856c15c72b9d86a4b91169d87351d835cd,d4a78301c6c38f9461de5937515cb8193e8c63a94909c835cf461df2450b0ac7,19ff69b284c3b6af4ee4d223fac0d45fc4fd3d87953bfefc1db45c494d0a3a19,,included,complete,2026-07-31T00:49:58Z
29,Biological Sciences (BA),BA,,2026-2027,catoid=22,poid=31717,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31717&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31717,direct_html,029_biological_sciences_ba.txt,8180,185,926f76a8e4988fd25eab1373ed61ac4f179bf8904fbf9da5824fd8423ac3aef2,e2f08e0a9af2d5de8b8346bb21d56eddea110cc8864e76686f3713a8e3daad28,d1b35329adca5159a8a279f0208f701d68668eec2b3ff8388062c84aa79a8ca9,,included,complete,2026-07-31T00:50:00Z
30,Biological Sciences (Biotechnology) (BS),BS,,2026-2027,catoid=22,poid=32750,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32750&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32750,direct_html,030_biological_sciences_bs.txt,7685,163,285b94a2fd5c8b026d9f068ed64ac26e2d98463b32415be2a5d14cda692e2a1a,5d46728a142ffa25665a6a3bbd20f79cdc4862753574df4f3e965cf65dd26e35,08a57e01ce6ce00d21be1dd593826273d7cc5471104b055bf561f6aa070bce79,,included,complete,2026-07-31T00:50:02Z
31,Biological Sciences (BS),BS,,2026-2027,catoid=22,poid=31718,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31718&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31718,direct_html,031_biological_sciences_bs.txt,7912,177,5fb64b4d9694e92ad2e7049c1d5e95e53cca29c4ae3a351ff362ce7efaa98a94,11e833a1582f35620f722fdbb8da346715906814601a731af4fba70995958be4,e8b0f9666b70cfbc4ecf791abeb6cf80a07ad106ab2dae1f0d19086309aaf13e,,included,complete,2026-07-31T00:50:04Z
32,"Biological Sciences (Ecology, Evolution and Environment) (BS)",BS,,2026-2027,catoid=22,poid=32784,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32784&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32784,direct_html,032_biological_sciences_bs.txt,6701,158,e92513b5a0ede2b4a645ce4f14a7b0da7953c50622784d453b6c22a12f4a9e63,adaa0728e78da5b568d8d59f17e56927617fc8efcf2dd47c11847a4d07c87881,d2c09596838273354239187311d0508a343696b980fb5b4ef3d78cd78b5066bb,,included,complete,2026-07-31T00:50:06Z
33,Biological Sciences (Marine Biology) (BS),BS,,2026-2027,catoid=22,poid=32749,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32749&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32749,direct_html,033_biological_sciences_bs.txt,7264,164,bb6b79a53016e1321663ef4169a53b6afb29f99c03a1eeb28da920467760664a,8fef969bac2ed821559ed36fceed905f9e21d15d49f58fbff0faa0313c213000,9f96129b33f147ff15d2774b276b48b020ab88673ff183e4312d39a8a8a457cb,,included,complete,2026-07-31T00:50:09Z
34,"Biological Sciences (Molecular, Cellular and Developmental Biology) (BS)",BS,,2026-2027,catoid=22,poid=32751,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32751&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32751,direct_html,034_biological_sciences_bs.txt,7018,166,a47ae0d4228f2a74c3c93e85474e19d55b7298e5c607bc58533bab64375e5426,e667672e1b63bfb6cc52908d4e1cb16d8bfaf47b8c504c959fde3950b23b0139,54ac2f277f0413d9c280a2a80442b4876f893575f4d7ff8dc7d5fbf1c0a84b7e,,included,complete,2026-07-31T00:50:11Z
35,Biomedical Engineering (BS),BS,,2026-2027,catoid=22,poid=32049,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32049&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32049,direct_html,035_biomedical_engineering_bs.txt,3491,122,bf2a413ba0bd547d9bbb75ace67aa26af431b2ff8b6f0b1abe5c688455dc90a3,a891b7dcf641ac3a4361ed2fe56ac3f1d6f7b6fd3eb547f70bcf936f3fcc8b1b,a32b46507bd7c89bf320f4f87acf0ab6716c3bea59a30a02d8feaafa7fd7ecd2,,included,complete,2026-07-31T00:50:14Z
36,"Biomedical Engineering, Electrical Engineering Emphasis (BS)",BS,,2026-2027,catoid=22,poid=32051,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32051&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32051,direct_html,036_biomedical_engineering_electrical_engineering_emphasis_bs.txt,3381,135,1751922c936e3027844fa97389dd1445595daef030324a463c56f839c695c0f1,b7f3d206e2bace8e2e3152d48216e74a8518ec4bc6354e55c37ff73dc128cc85,8b0510908f497c514b5c16d5116aa92761174aed4a0be809b64fdc2784ef925e,,included,complete,2026-07-31T00:50:16Z
37,"Biomedical Engineering, Mechanical Engineering Emphasis (BS)",BS,,2026-2027,catoid=22,poid=32052,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32052&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32052,direct_html,037_biomedical_engineering_mechanical_engineering_emphasis_bs.txt,3127,122,1750dc8f4ee40344af69dc1759ed89880be450aaaef0c345442e06bcaaaa94ea,f71faf3ac63f7de7c09b45470f6f11b05824625bbed88226df92cb90b4ac6086,ac4d341cbc99159b749bff2547f6a6c77296777723d08f49f64f5d93671bcc33,,included,complete,2026-07-31T00:50:18Z
38,"Biomedical Engineering, Molecular and Cellular Engineering Emphasis (BS)",BS,,2026-2027,catoid=22,poid=32619,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32619&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32619,direct_html,038_biomedical_engineering_molecular_and_cellular_engineering_emphasis_bs.txt,3004,116,712221846ef044311b0891385f1b7a5a94abb59f7bf63352d8549c9bcaf8dccb,83f5d49a71c3f65c3d3781024967e49713b1db52593788d5f9e8b2a4ac7695e1,9829644ae7375bca3c141277b9008032d02c97544a3b4e9a20c70cbfe02b3335,,included,complete,2026-07-31T00:50:21Z
39,Biopharmaceutical Sciences (BA),BA,,2026-2027,catoid=22,poid=32719,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32719&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32719,direct_html,039_biopharmaceutical_sciences_ba.txt,6941,151,9ac64689e43883adbb1443181045c81a33bcf85d1c075b47612cdf896c388bd3,689fa50eba5e870a9975c7eb7c644e93ae86df67f02f1ef408b4c1df0eb5975a,f47c78a9b0a896426a0f0f56708ba85bcfe889af1de2cea4f1221a3b69a66f6c,,included,complete,2026-07-31T00:50:23Z
40,Biopharmaceutical Sciences (BS),BS,USC Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,2026-2027,catoid=22,poid=32706,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32706&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32706,direct_html,040_biopharmaceutical_sciences_bs.txt,6868,143,ef2f9d60a33ec2762637b80f4991c102876724d572d3d13a7e241c2d1ae80c32,c3e96107fda9b7c4c04df9bd241d5b9968c429dfd972a46ae18f62d197d28d2c,d361beb6d5b0c1f3a77b87867b3abf47c3d88f367c6ac3a797375c2a5b1c1fab,,included,complete,2026-07-31T00:50:26Z
41,Biophysics (BS),BS,,2026-2027,catoid=22,poid=31890,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31890&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31890,direct_html,041_biophysics_bs.txt,1859,50,69976ada3dd697e3334b7499f95aa08c5a0bd0685fd8f70f3bb72c00d28107d4,8205df378fb8afacfb5c8dce42bebc26287b921097cfa25fe741afa0cc7ebd6e,63313ae3f46ffa89770d739c0be3d19da4ec69bf21645c28b111a10de9038e61,,included,complete,2026-07-31T00:50:28Z
42,Business Administration (BS),BS,,2026-2027,catoid=22,poid=31591,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31591&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31591,direct_html,042_business_administration_bs.txt,5574,95,3613c7e2f3616af40b1005240fd0e649c079b98fe6c0dca6d04557ac86606678,e02c0995d973760bdd097d731b761c559e8157a51e9531ba0361f84ccdde4b76,e19221b20dcd58b645aa30b9d56b57dbf3ad29509167d7d5c9ccf32b47db2c9b,,included,complete,2026-07-31T00:50:30Z
43,Business Administration (Business Analytics) (BS),BS,,2026-2027,catoid=22,poid=32693,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32693&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32693,direct_html,043_business_administration_bs.txt,4075,78,e1c4b7176a4dc4e45aba78b69d3e45ed1b3e6a18fa13414f4f4c1b7cbabb95a2,65a88664eef92bfc86140a2d340d9302b725fbbe8c62c5ca0f25152d3f9226d4,6c882f8e3fb00ba2b8be4975802439e782bbb3b32e248dcb26d6668919418408,,included,complete,2026-07-31T00:50:32Z
44,Business Administration (Cinematic Arts) (BS),BS,,2026-2027,catoid=22,poid=31592,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31592&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=31592,direct_html,044_business_administration_bs.txt,3366,90,54f414f78a9d23cfd6330afd31f8a8b5bc569124d4f44022d1822d6e2bc19939,a46df99899a28cd8871d3c4136bf35acb32868b079d175b89790aca973ca78a8,888fd72f160cbe2b971287b7aa1aea9b6cb296a99f485970888f66ab61225dbc,,included,complete,2026-07-31T00:50:34Z
45,Business Administration (Communication) (BS),BS,,2026-2027,catoid=22,poid=32692,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32692&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32692,direct_html,045_business_administration_bs.txt,4115,77,b46a02cdfeebd2eca3d868ab8c723f9ae1e6d7267b0f86d629fd05fbfc0f59e6,ebd5115bc634147cc5f2136e487815be1f8eb8b188e63632d749f5a88c7a4fe9,c8bd2814c85c45f3fb3a0c01cb4366e3bdbab08a5e4b85670bcf92e0d53e949c,,included,complete,2026-07-31T00:50:37Z
46,Business Administration (Entrepreneurship and Innovation) (BS),BS,,2026-2027,catoid=22,poid=32697,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32697&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32697,direct_html,046_business_administration_bs.txt,4180,92,922c5d90a6027b0ac54dfa2e9dcdf58a2439e8f012e451bc6df8390338a2190a,267d5962367be4e60ef81d9d3b818261e89ad990e6ebdb3965ba6abeb57cd3ab,270a87dff76e68771ad8831fc3c7793151bad36ee3b458051ca453cbdec9859e,,included,complete,2026-07-31T00:50:38Z
47,Business Administration (Finance) (BS),BS,,2026-2027,catoid=22,poid=32694,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32694&returnto=9396,https://catalogue.usc.edu/preview_program.php?catoid=22&poid=32694,direct_html,047_business_administration_bs.txt,3359,75,6a9db0bb58c844c56e31acbd4c40a041d234044898948d53f8fbd9367e7f77a6,28b2ef7cad1c6dc637d3fa74942993b28f41423dc64beb7a3a069941fd1417b7,252a08119def1a518e37eabd937255475237a09587b14a18c73d2e5fed7dca8a,,included,complete,2026-07-31T00:50:41Z
